ind_hhh,Industry
C,C. INDUSTRIA MANUFACTURERA
F,F. CONSTRUCCIÓN
G,G. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
10,10. ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
60,60. ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN DE RADIO TELEVISIÓN
01,"01. AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS CONEXOS"
61,61. TELECOMUNICACIONES
45,45. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
65,"65. SERVICIOS DE SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA"
85,85. SERVICIOS DE EDUCACIÓN
06,06. EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL
46,"46. VENTA POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
86,86. ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
07,07. EXTRACCIÓN DE MINERALES METALÍFEROS
47,"47. VENTA POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES  Y MOTOCICLETAS"
620,620. Programación informática y de consultoría de informática y actividades conexas
170,170. Fabricación de papel y de productos de papel
011,011. Cultivo de plantas no perennes
321,"321. Fabricación de joyas, bisutería y artículos conexos"
641,641. Intermediación monetaria
251,"251. Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de"
651,651. Seguros
851,851. Educación preescolar y primaria
561,561. Actividades de expendio de comidas en locales y puestos de comidas
471,471. Venta por menor en locales no especializados
491,491. Servicio de transporte por vía férrea
691,691. Servicios jurídicos
502,502. Transporte por vías de navegación interiores
012,012. Cultivo de plantas perennes
932,932. Otras actividades de esparcimiento y recreativas
492,492. Otros servicios de transporte por vía terrestre
433,433. Terminación y acabado de edificios
243,243. Fundición de metales
463,"463. Venta por mayor de alimentos, bebidas y tabaco"
563,563. Expendio de bebidas en locales y puestos
014,014. Cría de animales en general
464,464. Venta por mayor de enseres domésticos
465,"465. Venta por mayor de maquinaria, equipo y materiales"
107,107. Elaboración de otros productos alimenticios
477,477. Venta al por menor de otros productos en tiendas especializadas
478,478. Venta por menor en puestos de venta y mercados
139,139. Fabricación de otros productos textiles
3100,3100. Fabricación de muebles y colchones
4100,4100. Construcción de edificaciones
1010,"1010. Explotación de mataderos, producción, procesamiento y conservación de carne y productos cárnicos"
7110,7110. Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica
4210,4210. Construcción de obras de ingeniería civil
2310,2310. Fabricación de vidrio y productos de vidrio
1410,"1410. Fabricación de prendas de vestir, excepto prendas de piel"
3510,"3510. Generación, transmisión y distribución de energía eléctrica"
4510,4510. Venta de vehículos automotores
0810,"0810. Extracción de piedra, arena y arcilla"
2220,2220. Fabricación de productos de plástico
4220,4220. Construcción de obras de servicio público
7420,7420. Actividades de fotografía
1520,1520. Fabricación de calzado
4520,4520. Mantenimiento y reparación de vehículos automotores
8620,8620. Servicios médicos y odontológicos
1030,"1030. Elaboración y conservación de frutas, hortalizas y tubérculos"
1430,1430. Fabricación de prendas de tejidos de punto y ganchillo
8530,8530. Educación superior
4630,"4630. Venta por mayor de alimentos, bebidas y tabaco"
5630,5630. Expendio de bebidas en locales y puestos
1040,1040. Elaboración de aceites y grasas de origen vegetal y animal
1050,1050. Elaboración de productos lácteos
6190,6190. Servicios telefónicos y de internet al público y otras actividades de telecomunicaciones
9001,"9001. Producción de obras de teatro, conciertos, espectáculos musicales, danza y otras producciones escénicas"
0111,"0111. Cultivo de cereales, legumbres y semillas oleaginosas"
0311,0311. Pesca
8411,8411. Actividades de la administración pública en general
1511,"1511. Curtido, teñido y adobo de cueros y pieles"
6511,6511. Servicio de planes de seguros de vida
4711,"4711. Venta por menor en supermercados, almacenes y tiendas de barrio no especializados con predominio de alimentos, beb"
0121,0121. Cultivo de frutas de pepita y grano
4721,4721. Venta por menor de alimentos en tiendas especializadas
4921,4921. Transporte regular urbano y suburbano de pasajeros por vía terrestre
4331,4331. Terminación de edificios y obras de ingeniería civil
0141,0141. Cría de ganado bovino y búfalos
4641,"4641. Venta por mayor de productos textiles, prendas de vestir y calzado"
4751,4751. Venta por menor de productos textiles en tiendas especializadas
1061,1061. Beneficiado y elaboración de productos de molinería
1071,1071. Elaboración de productos de panadería
0112,0112. Cultivo de hortalizas
3312,3312. Reparación de maquinaria
4652,"4652. Venta por mayor de equipos electrónicos, de comunicaciones y sus partes"
4752,"4752. Venta por menor de artículos de ferretería, pintura y productos de vidrio en tiendas especializadas"
4662,4662. Venta por mayor de metales y minerales metalíferos
4782,"4782. Venta de productos textiles, prendas de vestir y calzado en puestos de venta y mercados"
1392,"1392. Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir"
2023,"2023. Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
4923,4923. Transporte automotor de carga por carretera
4663,"4663. Venta por mayor de materiales de construcción, artículos de ferretería, materiales de fontanería, calefacción, y p"
1073,"1073. Elaboración de cacao, chocolate y productos de confitería"
1104,1104. Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
0144,0144. Cría de ganado ovino y caprino
4644,"4644. Venta por mayor de productos farmacéuticos, perfumería, instrumental médico y artículos ortopédicos"
2394,"2394. Fabricación de cemento, cal y yeso"
2395,"2395. Fabricación de artículos de hormigón, cemento y yeso"
6419,6419. Otros tipos de intermediación monetaria
8129,8129. Otras actividades de limpieza de edificios e instalaciones industriales
0729,0729. Extracción de otros minerales metalíferos no ferrosos
8549,8549. Otros tipos de enseñanza n.c.p.
4649,4649. Venta por mayor de otros enseres domésticos
4659,4659. Venta por mayor de otros tipos de maquinaria y equipo
4669,"4669. Venta por mayor de sustancias químicas de uso industrial, desechos, chatarra y otros productos n.c.p."
1079,1079. Elaboración de otros productos alimenticios n.c.p.
2599,2599. Fabricación de otros productos elaborados de metal n.c.p.
8699,8699. Otros servicios relacionados con la salud humana
0899,0899. Explotación de otras minas y canteras n.c.p.
21000,"21000. Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
41000,41000. Construcción de edificaciones
12000,12000. Elaboración de productos de tabaco
75000,75000. Actividades veterinarias
36000,"36000. Captación, tratamiento y distribución de agua"
97000,97000. Actividades de hogares privados como empleadores de personal doméstico
89000,89000. Descripciones genéricas para asignar códigos de Act. Eco.
99000,99000. Servicio de organizaciones y órganos extraterritoriales
60100,60100. Transmisiones de radio
51100,51100. Transporte de pasajeros por vía aérea
61100,61100. Servicios de telefonía fija e internet por conexión alámbrica
02100,"02100. Plantaciones forestales, conservación de bosques y zonas forestales; explotación de viveros forestales"
72100,72100. Investigaciones y desarrollo experimental en el campo de las Ciencias Naturales y la Ingeniería
53100,53100. Actividades de correo nacional
73100,73100. Publicidad
24100,24100. Industrias básicas de hierro y acero (Siderurgia)
06100,06100. Extracción de petróleo crudo
16100,"16100. Aserrado, secado, tableado, descortezado y cepillado de madera"
26100,"26100. Fabricación de condensadores, transformadores, tableros electrónicos y circuitos integrados"
86100,86100. Servicios de hospitales
77100,77100. Alquiler de vehículos automotores de pasajeros sin conductor
09100,"09100. Actividades de exploración, prospección, perforación, sondeo y otros servicios relacionados con la extracción de"
29100,29100. Fabricación y ensamblado  de vehículos automotores
69100,69100. Servicios jurídicos
10200,10200. Elaboración y conservación de pescado y productos de pescado
60200,60200. Programación y transmisiones de televisión
80200,80200. Actividades de servicios de sistemas de seguridad
51200,51200. Transporte de carga por vía aérea
61200,61200. Servicios de telefonía móvil e internet por conexión inalámbrica
42200,42200. Construcción de obras de servicio público
72200,72200. Investigaciones y desarrollo experimental en el campo de las Ciencias Sociales y las Humanidades
82200,82200. Actividades de centros de llamadas
53200,53200. Actividades de courier
73200,73200. Estudios de mercado y realización de encuestas de opinión pública
94200,94200. Actividades de sindicatos
06200,06200. Extracción gas natural
26200,26200. Fabricación y/o ensamblado de computadoras y equipo periférico
58200,58200. Edición de programas informáticos
69200,"69200. Servicios de contabilidad, teneduría de libros y auditoria; consultoría fiscal"
20300,20300. Fabricación de fibras artificiales
61300,61300. Actividades de telecomunicaciones por satélite
81300,"81300. Actividades de plantación, cuidado y mantenimiento de parques, jardines en áreas privadas o comunitarias"
32300,32300. Fabricación de artículos de deporte
82300,"82300. Organización de conferencias, reuniones, convenciones y exposiciones comerciales"
35300,"35300. Suministro de vapor, aire acondicionado, agua caliente y producción de hielo"
45300,"45300. Venta de partes, piezas y accesorios para vehículos automotores"
65300,65300. Fondos de pensiones
26300,26300. Fabricación de equipo de comunicaciones
87300,87300. Servicios de atención en instituciones para personas de la tercera edad y personas minusválidas con alojamiento
29300,"29300. Fabricación de partes, piezas y accesorios para vehículos automotores"
49300,49300. Transporte por tuberías
01500,01500. Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
32500,32500. Fabricación de instrumentos y materiales médicos y odontológicos
10800,10800. Elaboración de alimentos preparados para animales
42900,42900. Construcción de otras obras de ingeniería civil
43900,43900. Otras actividades especializadas de construcción
46900,46900. Venta por mayor de diversos productos sin especialización
79900,79900. Otros servicios de reservas y actividades conexas
91010,91010. Actividades de bibliotecas y archivos
62010,62010. Actividades de programación informática
96010,"96010. Servicios de lavado y limpieza, incluida la limpieza en seco, de productos textiles y de piel"
17010,"17010. Fabricación de pasta de madera, papel y cartón"
22110,22110. Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
32110,32110. Fabricación de joyas de metales preciosos
82110,82110. Actividades combinadas de servicios administrativos de oficina
