district,District,NOME,UF_SIGLA,REGIAO,LOCAL
1101,Rondônia_CAPITAL,Rondônia,RO,NORTE,CAPITAL
1102,Rondônia_CAPITAL,Rondônia,RO,NORTE,CAPITAL
1103,Rondônia_RESTO_UF,Rondônia,RO,NORTE,RESTO_UF
1104,Rondônia_RESTO_UF,Rondônia,RO,NORTE,RESTO_UF
1105,Rondônia_RESTO_UF,Rondônia,RO,NORTE,RESTO_UF
1106,Rondônia_RESTO_UF,Rondônia,RO,NORTE,RESTO_UF
1107,Rondônia_RESTO_UF,Rondônia,RO,NORTE,RESTO_UF
1108,Rondônia_RURAL,Rondônia,RO,NORTE,RURAL
1109,Rondônia_RURAL,Rondônia,RO,NORTE,RURAL
1110,Rondônia_RURAL,Rondônia,RO,NORTE,RURAL
1111,Rondônia_RURAL,Rondônia,RO,NORTE,RURAL
1201,Acre_CAPITAL,Acre,AC,NORTE,CAPITAL
1201,Acre_CAPITAL,Acre,AC,NORTE,CAPITAL
1202,Acre_RESTO_UF,Acre,AC,NORTE,RESTO_UF
1202,Acre_RESTO_UF,Acre,AC,NORTE,RESTO_UF
1203,Acre_RURAL,Acre,AC,NORTE,RURAL
1204,Acre_RURAL,Acre,AC,NORTE,RURAL
1301,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1302,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1303,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1304,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1305,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1306,Amazonas_CAPITAL,Amazonas,AM,NORTE,CAPITAL
1307,Amazonas_RESTO_RM,Amazonas,AM,NORTE,RESTO_RM
1307,Amazonas_RESTO_RM,Amazonas,AM,NORTE,RESTO_RM
1308,Amazonas_RESTO_UF,Amazonas,AM,NORTE,RESTO_UF
1309,Amazonas_RESTO_UF,Amazonas,AM,NORTE,RESTO_UF
