ind_hhh,Industry
0,Atividades mal definidas 
1101,Cultivo de arroz
1102,Cultivo de milho
1103,Cultivo de outros cereais
1104,Cultivo de algodão
1105,Cultivo de cana-de-açúcar
1106,Cultivo de fumo
1107,Cultivo de soja
1108,Cultivo de mandioca
1109,Cultivo de outras lavouras temporárias não especificadas anteriormente
1110,Horticultura
1111,Cultivo de flores e plantas ornamentais
1112,Cultivo de frutas cítricas
1113,Cultivo de café
1114,Cultivo de cacau
1115,Cultivo de uva
1116,Cultivo de banana
1117,Cultivo de outras plantas e frutas de lavoura permanente não especificadas anteriormente
1118,Produção de sementes e mudas certificadas
1119,Lavoura não especificada
1201,Criação de bovinos
1202,Criação de outros animais de grande porte não especificados anteriormente
1203,Criação de caprinos e ovinos
1204,Criação de suínos
1205,Criação de aves
1206,Apicultura
1207,Sericicultura
1209,Pecuária não especificada
1401,Atividades de apoio à agricultura e pós-colheita
1402,Atividades de apoio à pecuária 
1500,Caça e serviços relacionados
1999,Agropecuária
2000,Produção florestal 
3001,Pesca
3002,Aqüicultura
5000,Extração de carvão mineral
6000,Extração de petróleo e gás natural 
7001,Extração de minérios de metais preciosos
7002,Extração de minerais metálicos não especificados anteriormente 
8001,"Extração de pedras, areia e argila"
8002,Extração de gemas (pedras preciosas e semi-preciosas)
8009,Extração de minerais não metálicos não especificados anteriormente 
9000,Atividades de apoio à extração de minerais
10010,Abate e fabricação de produtos de carne e pescado 
10021,"Fabricação de conservas de frutas, legumes e outros vegetais"
10022,Fabricação de óleos vegetais e gorduras vegetais e animais
10030,Laticínios
10091,"Moagem, fabricação de produtos amiláceos e de alimentos para animais"
10092,Fabricação e refino do açúcar
10093,Torrefação e moagem de café
10099,Fabricação de outros produtos alimentícios
11000,Fabricação de bebidas
12000,Processamento industrial e fabricação de produtos do fumo
13001,"Preparação de fibras, fiação e tecelagem"
13002,"Fabricação de artefatos têxteis, exceto vestuário"
14001,"Confecção de artigos do vestuário e acessórios, exceto sob medida"
14002,"Confecção, sob medida, de artigos do vestuário"
15011,Curtimento e outras preparações de couro
15012,Fabricação de artigos de viagem e de artefatos diversos de couro
15020,"Fabricação de calçados e partes para calçados, de qualquer material"
16001,Serrarias
16002,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
17001,"Fabricação de celulose, papel, cartolina e papel-cartão"
17002,"Fabricação de embalagens e de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
18000,Impressão e reprodução de gravações
19010,Coquerias
19020,Fabricação de produtos derivados do petróleo
19030,Produção de biocombustíveis
20010,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins"
20020,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal"
20090,Fabricação de outros produtos químicos não especificados anteriormente
21000,Fabricação de produtos farmoquimicos e farmacêuticos
22010,Fabricação de produtos de borracha
22020,Fabricação de produtos de material plástico
23010,Fabricação de vidro e produtos de vidro
23091,Fabricação de produtos cerâmicos
23099,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente
24001,Fabricação de produtos siderúrgicos
24002,Metalurgia dos metais não-ferrosos
24003,Fundição
25001,"Fabricação de produtos de metal, exceto máquinas e equipamentos"
25002,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais"
26010,Fabricação de componentes eletrônicos
26020,Fabricação de equipamentos de informática e periféricos
26030,"Fabricação de equipamentos de comunicação e de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
26041,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios e de aparelhos eletromédicos e eletroterapêuticos"
27010,Fabricação de eletrodomesticos
27090,"Fabricação de máquinas, aparelhos e materiais elétricos diversos, exceto eletrodomesticos"
28000,Fabricação de máquinas e equipamentos
29001,Fabricação e montagem de veículos automotores
29002,"Fabricação de cabines, carrocerias, reboques e peças para veículos automotores"
30010,Construção de embarcações 
30020,Fabricação de veículos ferroviários
30030,Fabricação de aeronaves
30090,Fabricação de outros equipamentos de transporte não especificados anteriormente
31000,Fabricação de móveis
32001,"Fabricação de artigos de joalheria, bijuteria e semelhantes"
32002,Fabricação de instrumentos musicais
32003,Fabricação de artefatos para pesca e esporte e de brinquedos e jogos recreativos
32009,Fabricação de produtos diversos
33001,Manutenção e reparação de máquinas e equipamentos
33002,Instalação de máquinas e equipamentos
35010,"Geração, transmissão e distribuição de energia elétrica"
35021,Produção e distribuição de combustíveis gasosos por redes urbanas
36000,"Captação, tratamento e distribuição de água"
37000,Esgoto e atividades relacionadas
38000,"Coleta, tratamento e disposição de resíduos; recuperação de materiais"
41000,Construção de edifícios
42000,Construção de obras de infra-estrutura
43000,Serviços especializados para construção
45010,Comércio de veículos automotores
45020,Manutenção e reparação de veículos automotores
45030,Comércio de peças e acessórios para veículos automotores
45040,"Comércio, manutenção e reparação de motocicletas, peças e acessórios"
48010,"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas"
48020,Comércio de matérias-primas agrícolas e animais vivos
48030,"Comércio de produtos alimentícios, bebidas e fumo"
48041,"Comércio de tecidos, artefatos de tecidos e armarinho"
48042,"Comércio de artigos do vestuário, complementos, calçados e artigos de viagem"
48050,"Comércio de madeira, material de construção, ferragens e ferramentas"
48060,Comércio de combustíveis para veículos automotores
48071,"Comércio de produtos farmaceuticos, médicos, ortopédicos, odontológicos e de cosméticos e perfumaria"
48072,"Comércio de artigos de escritório e de papelaria; livros, jornais e outras publicações"
48073,"Comércio de eletrodomésticos, móveis e outros artigos de residência"
48074,Comércio de equipamentos e produtos de tecnologias de informação e comunicação
48075,"Comércio de máquinas, aparelhos e equipamentos, exceto eletrodomésticos "
48076,"Comércio de combustíveis sólidos, líquidos e gasosos, exceto para veículos automotores"
48077,Comércio de produtos usados
48078,Comercio de residuos e sucatas
48079,Comércio de produtos novos não especificados anteriormente
48080,Supermercado e hipermercado
48090,"Lojas de departamento e outros comércios não especializados, sem predominância de produtos alimentícios"
48100,Comércio ambulante e feiras
49010,Transporte ferroviário e metroferroviário
49030,Transporte rodoviário de passageiros
49040,Transporte rodoviário de carga
50000,Transporte Aquaviário
51000,Transporte Aéreo
52010,"Armazenamento, carga e descarga"
52020,Atividades auxiliares dos transportes e atividades relacionadas à organização do transporte de carga 
53001,Atividades de Correio
53002,Atividades de malote e de entrega
55000,Alojamento
56011,Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas
56012,"Serviços de catering, bufê e outros serviços de comida preparada"
56020,Serviços ambulantes de alimentação
58000,Edição e Edição integrada à impressão 
59000,"Atividades cinematográficas, produção de vídeos e de programas de televisão, gravação de som e de música"
60001,Atividades de rádio
60002,Atividades de televisão
61000,Telecomunicações
62000,Atividades dos serviços de tecnologia da informação
63000,Atividades de prestação de serviços de informação
64000,Serviços financeiros
65000,Seguros e previdência privada
66001,Atividades auxiliares dos serviços financeiros
66002,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde"
68000,Atividades imobiliárias
69000,"Atividades jurídicas, de contabilidade e de auditoria "
70000,Atividades de consultoria em gestão empresarial
71000,Serviços de arquitetura e engenharia e atividades técnicas relacionadas; Testes e análises técnicas
72000,Pesquisa e desenvolvimento científico
73010,Publicidade
73020,Pesquisas de mercado e opinião pública
74000,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente"
75000,Atividades veterinárias
77010,Aluguel de objetos pessoais e domésticos
77020,"Aluguel de meios de transportes, maquinas e equipamentos sem operador e gestão de ativos intangíveis não financeiros"
78000,"Seleção, agenciamento e locação de mão-de-obra"
79000,"Agências de viagens, operadores turísticos e serviços de reservas"
80000,"Atividades de vigilância, segurança, transporte de valores e investigação"
81011,"Serviços de limpeza e de apoio a edifícios, exceto condomínios prediais"
81012,Condomínios prediais
81020,Atividades paisagísticas
82001,Serviços de escritório e apoio administrativo
82002,Atividades de teleatendimento
