edu_hhh,Education
1,Creche
2,Pre-Escola
3,Classe de Alfabetizacao
4,Alfabetizcap de Jovens e Adultos
5,Antigo Primario
6,Antigo Ginasial (media 1 ciclo)
7,Regiular Do Ensino Fundamental Ou Do 1 GRAU
8,Educacao de Jovens e Adultos - Eja do ensino fundamental ou supletivo do 1 grau
9,"ANtigo cientifico, classico (medio 2 ciclo)"
10,Regular do ensino medio ou do 2 grau
11,Educacao de jovens e adultos - eja do ensino medio ou supletivo do 2 grau
12,Superior - graduacao
13,Especializadcao ne nivel superior
14,Mestrado
15,Doutorado
30,Classe de Alfabetizacao (Currently)
40,Alfabetizcap de Jovens e Adultos (Currently)
50,Antigo Primario (Currently)
60,Antigo Ginasial (media 1 ciclo) (Currently)
70,Regiular Do Ensino Fundamental Ou Do 1 GRAU (Currently)
80,Educacao de Jovens e Adultos - Eja do ensino fundamental ou supletivo do 1 grau (Currently)
90,"ANtigo cientifico, classico (medio 2 ciclo) (Currently)"
100,Regular do ensino medio ou do 2 grau (Currently)
110,Educacao de jovens e adultos - eja do ensino medio ou supletivo do 2 grau (Currently)
NA,NA
