District,district
ARAUCA,1
ARMENIA,2
BARRANCABERMEJA,3
BARRANQUILLA,4
BOGOTÁ,5
BUCARAMANGA Y A.M.,6
BUENAVENTURA,7
CALI,8
CARTAGENA,9
CENTRO POBLADO,10
CÚCUTA Y A.M.,11
FLORENCIA,12
IBAGUÉ,13
INÍRIDA,14
LETICIA,15
MANIZALEZ Y A.M.,16
MEDELLÍN Y A.M.,17
MITÚ,18
MOCOA,19
MONTERÍA,20
NEIVA,21
OTRAS CABECERAS,22
PASTO,23
PEREIRA Y A.M.,24
POPAYÁN,25
PUERTO CARREÑO,26
QUIBDÓ,27
RIOHACHA,28
RIONEGRO,29
RURAL DISPERSO,30
SAN ANDRÉS,31
SAN JOSÉ DEL GUAVIARE,32
SANTA MARTA,33
SINCELEJO,34
SOLEDAD,35
TUMACO,36
TUNJA,37
VALLEDUPAR,38
VILLAVICENCIO,39
YOPAL,40
YUMBO,41
