edu_hhh,Education,ISCED
1_100_NA,Ninguno Ninguno,0
2_200_NA,Preescolar Inicio Preescolar,0
2_201_NA,Preescolar Preescolar,0
3_300_NA,Basica Primaria Inicio Primaria,1
3_301_NA,Basica Primaria Primero de Primaria,1
3_302_NA,Basica Primaria Segundo de Primaria,1
3_303_NA,Basica Primaria Tercero de Primaria,1
3_304_NA,Basica Primaria Cuarto de Primaria,1
3_305_NA,Basica Primaria Quinto de Primaria,1
4_400_NA,Basica Secundaria Inicio Basica Secundaria,2
4_406_NA,Basica Secundaria Sexto,2
4_407_NA,Basica Secundaria Septimo,2
4_408_NA,Basica Secundaria Octavo,2
4_409_NA,Basica Secundaria Noveno,2
5_500_1,Media Inicio Media Ninguno,3
5_500_NA,Media Inicio Media,3
5_510_1,Media Decimo Ninguno,3
5_511_1,Media Once Ninguno,3
5_511_2,Media Once Bachiller,3
5_511_3,Media Once Técnico o tecnológico,3
5_511_4,Media Once Universitario, 3
5_511_5,Media Once Postgrado,3
5_512_1,Media Doce Ninguno,3
5_512_2,Media Doce Bachiller,3
5_512_3,Media Doce Técnico o tecnológico,3
5_512_4,Media Doce Universitario,3
5_513_2,Media Trece Bachiller,3
5_513_3,Media Trece Técnico o tecnológico,3
5_513_4,Media Trece Universitario,3
5_513_5,Media Trece Postgrado,3
6_600_1,Superior o Universitaria Inicio Superior o Universitaria Ninguno,6
6_600_2,Superior o Universitaria Inicio Superior o Universitaria Bachiller,6
6_600_3,Superior o Universitaria Inicio Superior o Universitaria Técnico o tecnológico,6
6_600_4,Superior o Universitaria Inicio Superior o Universitaria Universitario,6
6_600_5,Superior o Universitaria Inicio Superior o Universitaria Postgrado,7
6_601_1,Superior o Universitaria Primer ano Ninguno,6
6_601_2,Superior o Universitaria Primer ano Bachiller,6
6_601_3,Superior o Universitaria Primer ano Técnico o tecnológico,6
6_601_4,Superior o Universitaria Primer ano Universitario,6
6_601_5,Superior o Universitaria Primer ano Postgrado, 7
6_602_1,Superior o Universitaria Segundo ano Ninguno,6
6_602_2,Superior o Universitaria Segundo ano Bachiller,6
6_602_3,Superior o Universitaria Segundo ano Técnico o tecnológico,6
6_602_4,Superior o Universitaria Segundo ano Universitario,6
6_602_5,Superior o Universitaria Segundo ano Postgrado,6
6_603_1,Superior o Universitaria Tercer ano Ninguno,6
6_603_2,Superior o Universitaria Tercer ano Bachiller,6
6_603_3,Superior o Universitaria Tercer ano Técnico o tecnológico,6
6_603_4,Superior o Universitaria Tercer ano Universitario,6
6_603_5,Superior o Universitaria Tercer ano Postgrado,7
6_604_1,Superior o Universitaria Cuarto ano Ninguno,6
6_604_2,Superior o Universitaria Cuarto ano Bachiller,6
6_604_3,Superior o Universitaria Cuarto ano Técnico o tecnológico,6
6_604_4,Superior o Universitaria Cuarto ano Universitario,6
6_604_5,Superior o Universitaria Cuarto ano Postgrado,7
6_605_1,Superior o Universitaria Quinto ano Ninguno, 6
6_605_2,Superior o Universitaria Quinto ano Bachiller,6
6_605_3,Superior o Universitaria Quinto ano Técnico o tecnológico,6
6_605_4,Superior o Universitaria Quinto ano Universitario,6
6_605_5,Superior o Universitaria Quinto ano Postgrado,7
6_605_9,Superior o Universitaria Quinto ano No sabe no informa, 6
6_606_1,Superior o Universitaria Sexto ano Ninguno, 6
6_606_2,Superior o Universitaria Sexto ano Bachiller,6
6_606_3,Superior o Universitaria Sexto ano Técnico o tecnológico,6
6_606_4,Superior o Universitaria Sexto ano Universitario,6
6_606_5,Superior o Universitaria Sexto ano Postgrado,7
6_607_1,Superior o Universitaria Septimo ano Ninguno,6
