ind_hhh,Industry
,"NA , Other"
0000,"NA , Other"
0111,"Cultivo de cereales (excepto arroz), plantas leguminosas y semillas oleaginosas"
0112,Cultivo de arroz
0113,"Cultivo de hortalizas y melones, raíces y tubérculos"
0114,Cultivo de caña de azúcar
0115,Cultivo de tabaco
0119,Cultivo de otras cosechas estacionales
0121,Cultivo de uvas
0122,Cultivo de frutas tropicales y subtropicales
0123,Cultivo de cítricos
0124,Cultivo de frutas de pepita y de hueso
0125,Cultivo de otras frutas y frutos secos arbóreos y arbustivos
0126,Cultivo de frutos oleaginosos
0127,Cultivo de plantas para elaboración de bebidas
0128,"Cultivo de especias y plantas aromáticas, medicinales y farmacéuticas"
0129,Cultivo de otras cosechas perennes
0130,Propagación de plantas
0141,Cría de ganado y búfalos
0142,Cría de caballos y otros equinos
0143,Cría de camellos y camélidos
0144,Cría de ovejas y cabras
0145,Cría de ganado porcino
0149,Cría de otros animales
0150,Explotación agropecuaria mixta
0161,Actividades de apoyo a la producción agrícola
0162,Actividades de apoyo a la producción pecuaria
0170,Caza ordinaria y mediante trampas y servicios conexos
0210,Silvicultura y otras actividades forestales
0220,Extracción de madera
0240,Servicios de apoyo a la silvicultura
0311,Pesca marítima
0312,Pesca de aguadulce
0321,Acuicultura marítima
0322,Acuicultura en aguadulce
0510,Extracción de hulla
0520,Extracción de lignito
0610,Extracción de petróleo crudo
0620,Extracción de gas natural
0710,Extracción de minerales de hierro
0722,"Extracción de minerales metalíferos no ferrosos , Other"
0729,Extracción de otros minerales metalíferos no ferrosos
0811,"Extracción de piedra, arena y arcilla , Other"
0812,"Extracción de piedra, arena y arcilla , Other"
0820,"EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS , Other"
0891,Extracción de minerales para la fabricación de abonos y productos químicos
0892,Extracción y aglomeración de turba
0899,Explotación de otras minas y canteras n.c.p.
0910,Actividades de apoyo a la extracción de petróleo y gas natural
0990,Actividades de apoyo a la explotación de otras minas y canteras
1011,"Procesamiento y conservación de carne , Other"
1012,"Procesamiento y conservación de carne , Other"
1020,"Procesamiento y conservación de pescado, crustáceos y moluscos"
1030,Procesamiento y conservación de frutas y hortalizas
1040,Elaboración de aceites y grasas de origen vegetal y animal
1051,"Elaboración de productos lácteos , Other"
1061,Elaboración de productos de molinería
1062,Elaboración de almidones y productos derivados del almidón
1063,"Elaboración de productos de molinería, almidones y productos derivados del almidón , Other"
1071,Elaboración de productos de panadería
1072,Elaboración de azúcar
1081,"Elaboración de alimentos preparados para animales , Other"
1082,"Elaboración de alimentos preparados para animales , Other"
1083,"Elaboración de alimentos preparados para animales , Other"
1084,"Elaboración de alimentos preparados para animales , Other"
1089,"Elaboración de alimentos preparados para animales , Other"
1090,"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS , Other"
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas"
1102,Elaboración de vinos
1103,Elaboración de bebidas malteadas y de malta
1104,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
1200,Elaboración de productos de tabaco
1311,Preparación e hilatura de fibras textiles
1312,Tejedura de productos textiles
1313,Acabado de productos textiles
1391,Fabricación de tejidos y de punto y ganchillo
1392,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir"
1393,Fabricación de tapices y alfombras
1394,"Fabricación de cuerdas, cordeles, bramantes y redes"
1399,Fabricación de otros productos textiles n.c.p.
1410,"Fabricación de prendas de vestir, excepto prendas de piel"
1420,Fabricación de artículos de piel
1430,Fabricación de prendas de vestir de punto y ganchillo
1511,Curtido y adobo de cueros; adobo y teñido de pieles
1512,"Fabricación de maletas, bolsos de mano y artículos similares y de artículos de talabartería y guarnicionería"
1513,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles , Other"
1521,"Fabricación de calzado , Other"
1522,"Fabricación de calzado , Other"
1523,"Fabricación de calzado , Other"
1610,Aserrados y acepilladura de madera
1620,"Fabricación de productos de madera, corcho, paja y materiales trenzables , Other"
1630,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES , Other"
1640,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES , Other"
1690,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES , Other"
1701,"Fabricación de pasta de madera, papel y cartón"
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón
1709,Fabricación de otros artículos de papel y cartón
1811,Actividades de impresión
1812,Servicios relacionados con la impresión
1820,Reproducción de grabaciones
1910,Fabricación de productos de hornos de coque
1921,"Fabricación de productos de la refinación del petróleo , Other"
2011,Fabricación de sustancias químicas básicas
2012,Fabricación de abonos y compuestos de nitrógeno
2013,Fabricación de plásticos y caucho sintético en formas primarias
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
2029,Fabricación de otros productos químicos n.c.p.
2029,Fabricación de otros productos químicos n.c.p.
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
2211,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
2212,"Fabricación de productos de caucho , Other"
2219,Fabricación de otros productos de caucho
2221,"Fabricación de productos de plástico , Other"
2229,"Fabricación de productos de plástico , Other"
2310,Fabricación de vidrio y productos de vidrio
2391,Fabricación de productos de cerámica refractaria
2392,Fabricación de materiales de arcilla para la construcción
2393,Fabricación de otros productos de cerámica y porcelana
2394,"Fabricación de cemento, cal y yeso"
2395,"Fabricación de artículos de hormigón, cemento y yeso"
2396,"Corte, tallado y acabado de la piedra"
2399,Fabricación de otros productos minerales no metálicos n.c.p.
2410,Fabricación básica de hierro y acero
