ind_hhh,Industry
11,"Educación primaria, preescolar, educación para adultos"
12,"Educación secundaria, profesorado"
13,Otros educación secundaria
14,Otros educación
15,Ciencias de la educación
16,"Instructores, formación técnica"
21,"Inglés, idioma"
22,Otras lenguas y culturas extranjeras
23,"Religión, Teología y otros programas de humanidades"
24,Bellas artes
25,Artes escénicas y del espectáculo
26,"Artes gráficas, diseño y audiovisuales"
27,Deportes
29,Artesanías
31,Ciencias sociales y del comportamiento
32,"Comunicación social, información y bibliotecología"
33,Derecho
34,Banca y Finanzas
35,Contabilidad
36,"Mercadeo, ventas y comercialización"
37,Administración
38,Secretariado y trato al público
41,Ciencias de la vida
42,Ciencias físicas
43,Matemáticas y Estadística
44,"Informática, computación, software y telecomunicaciones"
45,Aplicación y usos de software especializados
46,"Computación, cursos"
51,Otras Ingenierías y profesiones afines
52,Electricidad y Electrónica
53,Mantenimiento de vehículos
54,Alimentos y bebidas
55,Textiles
56,"Fabricación, reparación de artículos varios"
57,"Arquitectura, construcción y urbanismo"
61,Agricultura y silvicultura
62,Pesca
63,Veterinaria
71,Medicina
72,Servicios médicos y operación de equipos de diagnóstico
73,Asistencia médica
81,"Hotelería, restaurantes (excepto manejo y preparación de alimentos), casinos y servicios afines"
82,Servicios personales
83,Servicios de transporte y comunicaciones
84,Protección del medio ambiente
85,Seguridad y Vigilancia
86,"Capacitación para atender o cuidar, personas, infantes, adultas mayores y con necesidades especiales"
87,Servicios sociales
88,Especialidad no definida
99,Especialidad ignorada
