COD_ENIG 2018,ALIMENTOS Y BEBIDAS ,GTAP10,GTAP10_c,ARTICULO
,PANES SALADOS,,,
1,BONETE O PAN CENA SALADO (PAN BAGEL),25,ofd,0001
2,CROTONES,25,ofd,0002
3,ESPIGA DE PAN CON QUESO,25,ofd,0003
4,PAN BASE PARA PIZZA,25,ofd,0004
5,"PAN BAGUETTE CON QUESO, AJONJOLI, ETC.",25,ofd,0005
6,PAN BAGUETTE CORRIENTE O PAN ITALIANO,25,ofd,0006
7,"PAN BLANCO, MANITA O PIÑA (PAN FRANCES)",25,ofd,0007
8,"PAN CHAPATA, PAN ESPAÑOL Y PAN DE NEGRO",25,ofd,0008
9,PAN CONGELADO (LISTO PARA HORNEAR),25,ofd,0009
10,PAN CUADRADO CORRIENTE (BLANCO),25,ofd,0010
11,"PAN CUADRADO DE ANIS, LINAZA, ZANAHORIA",25,ofd,0011
12,PAN CUADRADO DE MANTEQUILLA,25,ofd,0012
13,PAN INTEGRAL DE PANADERIA,25,ofd,0013
14,PAN CUADRADO INTEGRAL (THINS INTEGRAL EMPACADO),25,ofd,0014
15,"PAN CUADRADO LIGHT O 0% GRASA, (THINS EMPACADO)",25,ofd,0015
16,"PAN CUADRADO MULTIGRANO, DOBLE FIBRA O CENTENO",25,ofd,0016
17,"PAN DE ESPECIES (AJO, CEBOLLA, ETC)",25,ofd,0017
18,PAN MOLIDO,25,ofd,0018
19,PAN PARA HAMBURGUESA,25,ofd,0019
20,PAN PARA HOT DOG (PERRO CALIENTE) O PAN EUROPEO EMPACADO,25,ofd,0020
21,PAN PITA O ARABE,25,ofd,0021
22,"PAN RELLENO SALADO (PAN RELLENO DE QUESO CREMA, ETC.)",25,ofd,0022
23,TOSTADAS EMPACADAS O DE PANADERIA,25,ofd,0023
29,OTROS PANES SALADOS,25,ofd,0029
,PANES DULCES,,,
30,BOLLO DE PAN DULCE,25,ofd,0030
31,BONETE DE PAN DULCE O PAN CASERO,25,ofd,0031
32,PAN CON FRUTAS (PAN BON),25,ofd,0032
33,"PAN RELLENO DULCE (PAN RELLENO CON DULCE DE LECHE, CREMA PASTELERA, ETC.)",25,ofd,0033
34,TRENZA O PAN DE CANELA (ROLLO DE CANELA),25,ofd,0034
39,OTROS PANES DULCES,25,ofd,0039
,TORTILLAS,,,
40,TORTILLA DE HARINA,25,ofd,0040
41,TORTILLA DE MAIZ PAQUETE,25,ofd,0041
42,TORTILLA DE HARINA INTEGRAL,25,ofd,0042
43,PAN PIZZA,25,ofd,0043
49,OTRAS TORTILLAS,25,ofd,0049
,REPOSTERIA SALADA,,,
50,ALMOJABANA,25,ofd,0050
51,BAGEL,25,ofd,0051
52,"BIZCOCHOS, ROSQUILLAS, MANTECADOS, PALITOS SALADOS DE HARINA O QUESO",25,ofd,0052
53,BIZCOCHO DE NATILLA Y QUESO,25,ofd,0053
54,CANASTAS Y CACHITOS PARA RELLENAR,25,ofd,0054
55,CANGREJO O CROISSANT SALADO,25,ofd,0055
56,CONCHA PARA PASTEL PREPARADA,25,ofd,0056
57,EMPANADA DE MASA CONGELADA (LISTAS PARA COCINAR),25,ofd,0057
58,"ENCHILADA, PASTELILLO O EMPANADA DE HOJALDRE, ARGENTINAS Y CHILENAS",25,ofd,0058
59,PASTEL CONGELADO LISTO PARA HORNEAR,25,ofd,0059
60,PIZZA CONGELADA LISTA PARA HORNEAR,25,ofd,0060
61,REPOSTERIA MACROBIOTICA (PALITOS DE AJONJOLI),25,ofd,0061
62,TRENZA O ARROLLADO DE QUESO,25,ofd,0062
69,OTROS TIPOS DE REPOSTERIA SALADA,25,ofd,0069
,REPOSTERIA DULCE,,,
70,ALFAJORES,25,ofd,0070
71,"ARROLLADO DULCE, GATO, BORRACHO, MERENDINA, ETC.",25,ofd,0071
72,BROWNIE,25,ofd,0072
73,BUDIN,25,ofd,0073
74,"CACHO, PAÑUELO O PRUSIANO RELLENOS CON LUSTRE, CREMA PASTELERA O DULCE DE LECHE",25,ofd,0074
75,CREMITA O E-CLIAR RELLENO CON CREMA PASTELERA,25,ofd,0075
76,COSTILLA Y TOSTEL,25,ofd,0076
77,"DONA, CHURRO O BUÑUELO SIMPLE",25,ofd,0077
78,"DONA, CHURRO O BUÑUELO RELLENO",25,ofd,0078
79,"EMPANADA DE PIÑA, GUAYABA O JALEA",25,ofd,0079
80,MUFFIN CON LUSTRE O RELLENO (CUP CAKE),25,ofd,0080
81,"OREJAS, PALMERAS, PRESTIÑOS",25,ofd,0081
82,QUEQUE CON LUSTRE O RELLENO Y CARLOTA,25,ofd,0082
83,"QUEQUE NAVIDEÑO, QUEQUE CON FRUTOS SECOS (PASAS) O SEMILLAS",25,ofd,0083
84,QUEQUE SECO O DE ZANAHORIA,25,ofd,0084
85,"QUESADILLA DULCE, PUPUSA DE QUESO Y AZUCAR",25,ofd,0085
86,"ROSQUILLAS DULCES, ILUSTRADOS",25,ofd,0086
87,"STRUDEL, PASTELILLO, TARTALETA O FLAUTA DE FRUTAS",25,ofd,0087
88,"TAMAL DE MAIZ, MAICENA, ASADO, PAN DE ELOTE",25,ofd,0088
89,TARTARA O COCADAS,25,ofd,0089
90,TORTA CHILENA,25,ofd,0090
91,WAFFLES EMPACADOS,25,ofd,0091
99,OTROS TIPOS DE REPOSTERIA DULCE,25,ofd,0099
,GALLETAS ,,,
100,BARQUILLOS DE CHOCOLATE O RELLENOS,25,ofd,0100
101,BARQUILLOS DE VAINILLA O COMBINADOS,25,ofd,0101
102,CONOS CORRIENTES,25,ofd,0102
103,CONOS O CANASTAS AZUCARADAS,25,ofd,0103
104,GALLETAS DE ARROZ,25,ofd,0104
105,GALLETAS DE AVENA,25,ofd,0105
106,GALLETAS DULCES CON RELLENO,25,ofd,0106
107,GALLETAS DULCES INTEGRALES Y EXTRA FIBRA (FIBRA MIEL),25,ofd,0107
108,"GALLETAS DULCES SIMPLES SIN RELLENO (DEDOS DE SEÑORA O BIZCOTELAS, MARIA Y GALLETAS DE PANADERIA)",25,ofd,0108
109,GALLETAS LIBRES DE AZUCAR O LIGH,25,ofd,0109
110,GALLETA SALADAS,25,ofd,0110
111,GALLETAS SALADAS INTEGRALES Y EXTRA FIBRA,25,ofd,0111
112,GALLETAS SALADAS RELLENAS,25,ofd,0112
113,SORBETOS,25,ofd,0113
119,OTRAS GALLETAS,25,ofd,0119
,PREPARADOS DE POLVO DE HORNEAR,,,
120,MEZCLA PARA BISCUIT,25,ofd,0120
121,MEZCLA PARA GALLETAS,25,ofd,0121
122,MEZCLA PARA PANCAKES,25,ofd,0122
123,MEZCLA PASTA PARA PIZZA,25,ofd,0123
124,MEZCLA PARA QUEQUE DE CHOCOLATE O BROWNIES,25,ofd,0124
125,MEZCLA PARA QUEQUES DE VAINILLA O TRES LECHES,25,ofd,0125
129,OTRAS MEZCLAS PARA REPOSTERIA,25,ofd,0129
130,AFRECHO O SALVADO,25,ofd,0130
,CEREALES  PARA DESAYUNO Y DERIVADOS DE CEREALES,,,
131,ALMIDON DE YUCA,25,ofd,0131
132,AVENA INTEGRAL,25,ofd,0132
133,BARRAS DE CEREAL,25,ofd,0133
134,BARRAS DE GRANOLA,25,ofd,0134
135,CEREAL DE AVENA,25,ofd,0135
136,CEREAL AZUCARADO,25,ofd,0136
137,CEREAL DE CHOCOLATE,25,ofd,0137
138,CEREAL DE GALLETAS,25,ofd,0138
139,"CEREAL EN HOJUELAS DE MAIZ, CORRIENTE",25,ofd,0139
140,CEREAL INTEGRAL,25,ofd,0140
141,CEREAL KOMPLETE,25,ofd,0141
142,CEREAL LIGHT,25,ofd,0142
143,CEREAL PARA BEBES,25,ofd,0143
144,FECULA DE MAIZ,25,ofd,0144
145,GERMEN DE TRIGO,25,ofd,0145
146,GRANOLA,25,ofd,0146
147,MAICENA SABOR A FRUTAS O VAINILLA,25,ofd,0147
148,POLEN,25,ofd,0148
159,OTROS CEREALES,25,ofd,0159
,ARROZ,,,
160,"ARROZ CRUDO PREPARADO (C/ MARISCOS, CON POLLO O VERDE)",25,ofd,0160
161,ARROZ DE JAZMIN,23,pcr,0161
162,ARROZ GRANO ENTERO,23,pcr,0162
163,ARROZ INTEGRAL,23,pcr,0163
164,ARROZ PARA RISOTTO,23,pcr,0164
165,ARROZ PARA SUSHI,23,pcr,0165
166,ARROZ PRECOCIDO,23,pcr,0166
167,PUNTILLAS DE ARROZ,23,pcr,0167
169,OTROS TIPOS DE ARROZ,23,pcr,0169
,HARINA,,,
170,HARINA DE MAIZ (MASA) Y MASA PREPARADA PARA CHORREADAS,25,ofd,0170
171,HARINA DE SOYA,25,ofd,0171
172,HARINA DE TRIGO (CORRIENTE),25,ofd,0172
173,HARINA DE YUCA O PEJIBAYE,25,ofd,0173
174,HARINA INTEGRAL,25,ofd,0174
179,OTROS TIPOS DE HARINA,25,ofd,0179
,PASTAS,,,
180,"PASTA CARACOLITOS, CABELLO DE ANGEL, LENGUA, CANELONES, CHOP SUEY, ESPAGUETIS, LASAÑA, ETC.",25,ofd,0180
181,GNOCCHIS,25,ofd,0181
182,PASTA CON ESPINACAS SIN PREPARAR,25,ofd,0182
183,"PASTA CON SALSA BLANCA, ALFREDO O A LA CARBONARA SIN PREPARAR",25,ofd,0183
184,PASTA CON SALSA DE QUESO,25,ofd,0184
185,PASTA DE ARROZ,25,ofd,0185
186,PASTA INTEGRAL,25,ofd,0186
187,RAVIOLES,25,ofd,0187
