district,DES_DISTRITO_MUNICIPAL
10101,Santo Domingo de Guzmán
20101,Azua
20102,Barro Arriba
20104,Los Jovillos
20106,Barreras
20201,Las Charcas
20301,Las Yayas de Viajama
20302,Villarpando
20401,Padre Las Casas
20404,Monte Bonito
20501,Peralta
20601,Sabana Yegua
20604,Proyecto 2-C
20701,Pueblo Viejo
20801,Tábara Arriba
20804,Los Toros
21001,Estebanía
30101,Neiba
30201,Galván
30301,Tamayo
30303,Santana
30304,Montserrat
30307,Santa Bárbara El 6
30401,Villa Jaragua
30502,Las Clavellinas
40101,Barahona
40104,Villa Central
40201,Cabral
40301,Enriquillo
40401,Paraíso
40501,Vicente Noble
40504,Fondo Negro
40701,La Ciénaga
40802,Pescadería
41001,Polo
41101,Jaquimeyes
50101,Dajabón
50202,Capotillo
50301,Partido
50501,El Pino
60101,San Francisco de Macorís
60102,La Peña
60103,Cenoví
60105,Proyecto Don Antonio Guzmán Fernández-Los Aguayos
60202,Las Coles
60301,Castillo
60401,Pimentel
60501,Villa Riva
60502,Agua Santa del Yuna
60504,Las Taranas
60601,Las Guáranas
70101,Comendador
70301,El Llano
70402,Rancho de La Guardia
70501,Pedro Santana
80101,El Seibo
80103,San Francisco-Vicentillo
80104,Santa Lucía
80201,Miches
80202,El Cedro
80203,La Gina
90101,Moca
90102,José Contreras
90103,San Víctor
90104,Juan López 
90105,Las Lagunas
90107,El Higüerito
90201,Cayetano Germosén
90303,Veragua
90401,Jamao Al Norte
100101,Jimaní
100102,El  Limón
100201,Duvergé
100301,La Descubierta
100501,Cristóbal
100601,Mella
110101,Higüey
110102,Las Lagunas de Nisibón
110103,La Otra Banda
110104,Verón Punta Cana
110201,San Rafael del Yuma
120101,La Romana
120102,Caleta
120201,Guaymate
120301,Villa Hermosa
120302,Cumayasa
130101,La Vega
130102,Río Verde Arriba
130103,El Ranchito 
130104,Tavera
130201,Constanza
130202,Tireo
130203,La Sabina
130301,Jarabacoa
130302,Buena Vista
130401,Jima Abajo
140101,Nagua
140102,San José de Matanzas
140103,Las Gordas
140104,Arroyo Al Medio
140201,Cabrera
140202,Arroyo Salado
140301,El Factor
140302,El Pozo
140401,Río San Juan
150101,Monte Cristi
150201,Castañuelas
150301,Guayubín
150304,Cana Chapetón
150501,Pepillo Salcedo (Manzanillo)
150601,Villa Vásquez
160101,Pedernales
160201,Oviedo
160202,Juancho
170101,Baní
170102,Matanzas
170103,Villa Fundación
170105,Paya
170106,Villa Sombrero
170107,El Carretón
170110,Las Barías
170201,Nizao
170202,Pizarrete
170203,Santana
180101,Puerto Plata
180103,Maimón
180202,Río Grande
180401,Imbert
180501,Los Hidalgos
180603,Belloso
180701,Sosúa
180702,Cabarete
180801,Villa Isabela
180803,La Jaiba
180901,Villa Montellano
190101,Salcedo
190102,Jamao Afuera
190201,Tenares
190301,Villa Tapia
200101,Samaná
200102,El Limón
200103,Arroyo Barril
200104,Las Galeras
200201,Sánchez
200301,Las Terrenas
210101,San Cristóbal
210102,Hato Damas
210201,Sabana Grande de Palenque
210301,Bajos de Haina
210302,El Carril
210401,Cambita Garabitos
210402,Cambita El Pueblecito
210501,Villa Altagracia
210502,San José del Puerto
210503,Medina
210504,La Cuchilla
210601,Yaguate
210701,San Gregorio de Nigua
220101,San Juan
220103,Sabaneta
220106,Hato del Padre
220107,Guanito 
220108,La Jagua
220111,Las Zanjas
220201,Bohechío
220203,Yaque
220301,El Cercado
220401,Juan de Herrera
220501,Las Matas de Farfán
220503,Carrera de Yeguas
230101,San Pedro de Macorís
230201,Los Llanos
230202,El Puerto
230301,Ramón Santana
230401,Consuelo
230501,Quisqueya
230601,Guayacanes
240101,Cotuí
240105,Platanal
240107,Zambrano Abajo
240201,Cevicos
240301,Fantino
240401,La Mata
240403,Angelina
240404,Hernando Alonzo
250101,Santiago
250102,Pedro García
250105,La Canela
250106,San Francisco de Jacagua
250107,Hato del Yaque
250201,Bisonó
250301,Jánico
250303,El Caimito
250401,Licey Al Medio
250402,Las Palomas
250501,San José de Las Matas
250503,La Cuesta
250601,Tamboril
250602,Canca La Piedra
250701,Villa González
250702,Palmar Arriba
250801,Puñal
250802,Guayabal
250803,Canabacoa
250901,Sabana Iglesia 
260101,San Ignacio de Sabaneta
260201,Villa Los Almácigos
260301,Monción
270101,Mao
270102,Ámina
270103,Jaibón (Pueblo Nuevo)
270201,Esperanza
270301,Laguna Salada
270302,Jaibón
270303,La Caya
280101,Bonao
280102,Sabana del Puerto
280103,Juma Bejucal
280105,Jayaco
280201,Maimón
280302,Villa de Sonador
290101,Monte Plata
290102,Don Juan
290103,Chirino
290201,Bayaguana
290301,Sabana Grande de Boyá
290303,Majagual
290401,Yamasá
290402,Los Botados
290403,Mamá Tingó
290501,Peralvillo
300101,Hato Mayor
300102,Yerba Buena
300103,Mata Palacio
300104,Guayabo Dulce
300201,Sabana de La Mar
300301,El Valle
310101,San José de Ocoa
310104,El Pinar
310201,Sabana Larga
310301,Rancho Arriba
320101,Santo Domingo Este
320102,San Luis
320201,Santo Domingo Oeste
320301,Santo Domingo Norte
320302,La Victoria
320401,Boca Chica
320402,La Caleta
320501,San Antonio de Guerra
320601,Los Alcarrizos
320602,Palmarejo-Villa Linda 
320603,Pantoja
320701,Pedro Brand
320702,La Guáyiga
