village,DES_BARRIO_PARAJE
1010101001,Los Peralejos
1010101002,Palma Real
1010101004,Altos de Arroyo Hondo
1010101005,Los Ríos
1010101007,Honduras del Oeste
1010101008,Honduras del Norte
1010101011,Renacimiento
1010101012,Los Restauradores
1010101013,San Jerónimo
1010101014,Los Jardines
1010101016,Nuevo Arroyo Hondo
1010101018,Viejo Arroyo Hondo
1010101019,Paraíso
1010101020,Julieta Morales
1010101021,Los Prados
1010101023,Mirador Norte
1010101025,Buenos Aires  Mirador
1010101030,Bella Vista
1010101031,Quisqueya
1010101032,Piantini
1010101033,La Julia
1010101036,30 de Mayo
1010101037,Cacique
1010101040,Ciudad Universitaria
1010101042,Ensanche Naco
1010101044,La Fe
1010101045,La Agustina
1010101046,Cristo Rey
1010101048,La Zurza
1010101049,Villas Agrícolas
1010101050,Villa Juana
1010101052,San Juan Bosco
1010101053,Gascue
1010101055,San Carlos
1010101056,Villa Consuelo
1010101057,Ensanche Luperón
1010101058,Ensanche Capotillo
1010101059,Simón Bolivar
1010101060,24 de Abril
1010101061,Ensanche Espaillat
1010101062,María Auxiliadora
1010101063,Mejoramiento Social
1010101064,Villa Francisca
1010101065,Ciudad Colonial
1010101066,Domingo Savio
1010101067,Gualey
1010101068,La Isabela
2010101001,Los Cartones
2010101002,Simón Striddels
2010101003,La Bombita
2010101005,Centro de La Ciudad
2010101010,La Colonia Española
2010101013,La Nevera
2010201002,La Golondrina
2010203001,Aguaelico
2010401002,6to  
2010601001,Barreras
2020101001,Las Charcas
2020102001,Hatillo
2030101006,San Joaquín
2030201001,Villarpando
2030203001,Bastidas
2040101001,Buena Vista
2040403007,Villa Ocoa
2050101004,Higüero
2060101001,Sabana Yegua o Pintao
2060101004,Ojo de Agua
2060401001,Proyecto 2-C
2070103001,Guayacanal
2080101001,Quisqueya
2080401001,Los Toros
2080403001,Sajanoa
2100101003,Placer Bonito
2401070404,Sabana del Rey
3010101005,Santa Cruz
3010101007,Cerro Al Medio
3010101008,Coronel Francisco Alberto Caamaño
3010104001,Los Guineos
3020101005,Los Hierros
3020102010,Las Sábilas
3030101005,Centro del Pueblo
3030302003,Los Conuquitos
3030401001,Montserrat
3030701001,Los Blocks
3040101004,Palenque
3050201001,Las Clavellinas
4010101001,Enriquillo
4010101004,Pueblo Nuevo
4010101006,Palmarito
4010101007,Savica
4010101010,La Playa
4010101015,El Cacique o Canta La Rana
4010101022,Centro de La Ciudad
4010401007,Los Blocks
4010401012,Jarro Sucio
4020101007,La Peñuela
4020101008,El Guayuyo
4020102002,La Lista
4030101007,Mercedes Alta
4040101002,Centro del Pueblo
4040105002,Café Las Mujeres
4050101005,La Cuarenta
4050101008,Batey Paja
4050401002,Cenceres
4070101005,Fudeco
4070102003,La Lajita
4080201002,Pueblo Nuevo
4100104005,La Muda
4110101001,Jaquimeyes
5010101001,Benito Monción
5010101012,La Esperanza
5020202001,Hipólito Billini
