ind_hhh,Industry
111,"Cultivo de cereales (excepto arroz), plantas leguminosas y semillas oleaginosas"
112,Cultivo de arroz
113,"Cultivo de hortalizas y melones, raíces y tubérculos"
114,Cultivo de caña de azúcar
119,Cultivo de otras cosechas estacionales
122,Cultivo de frutas tropicales y subtropicales
123,Cultivo de cítricos
126,Cultivo de frutos oleaginosos
127,Cultivo de plantas para elaboración de bebidas
128,"Cultivo de especias y plantas aromáticas, medicinales y farmacéuticas"
130,Propagación de plantas
141,Cría de ganado y búfalos
142,Cría de caballos y otros equinos
144,Cría de ovejas y cabras
145,Cría de ganado porcino
146,Cría de aves de corral
149,Cría de otros animales
150,Explotación agropecuaria mixta
161,Actividades de apoyo a la producción agrícola
162,Actividades de apoyo a la producción pecuaria
163,Actividades posteriores a la recolección de los cultivos
170,Caza ordinaria y mediante trampas y servicios conexos
220,Extracción de madera
311,Pesca marítima
312,Pesca de aguadulce
321,Acuicultura marítima
322,Acuicultura en aguadulce
810,"Extracción de piedra, arena y arcilla"
893,Extracción de sal
1010,Procesamiento y conservación de carne
1020,"Procesamiento y conservación de pescado, crustáceos y moluscos"
1030,Procesamiento y conservación de frutas y hortalizas
1040,Elaboración de aceites y grasas de origen vegetal y animal
1050,Elaboración de productos lácteos
1061,Elaboración de productos de molinería
1062,Elaboración de almidones y productos derivados del almidón
1071,Elaboración de productos de panadería
1072,Elaboración de azúcar
1073,Elaboración de cacao y chocolate y de productos de confitería
1075,Elaboración de comidas y platos preparados
1079,Elaboración de otros productos alimenticios n.c.p.
1080,Elaboración de alimentos preparados para animales
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas"
1103,Elaboración de bebidas malteadas y de malta
1104,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
1200,Elaboración de productos de tabaco
1311,Preparación e hilatura de fibras textiles
1312,Tejedura de productos textiles
1313,Acabado de productos textiles
1391,Fabricación de tejidos y de punto y ganchillo
1392,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir"
1393,Fabricación de tapices y alfombras
1394,"Fabricación de cuerdas, cordeles, bramantes y redes"
1399,Fabricación de otros productos textiles n.c.p.
1410,"Fabricación de prendas de vestir, excepto prendas de piel"
1430,Fabricación de prendas de vestir de punto y ganchillo
1511,Curtido y adobo de cueros; adobo y teñido de pieles
1512,"Fabricación de maletas, bolsos de mano y artículos similares y de artículos de talabartería y guarnicionería"
1520,Fabricación de calzado
1610,Aserrados y acepilladura de madera
1621,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables"
1640,NA
1701,"Fabricación de pasta de madera, papel y cartón"
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón
1709,Fabricación de otros artículos de papel y cartón
1811,Actividades de impresión
1812,Servicios relacionados con la impresión
2011,Fabricación de sustancias químicas básicas
2012,Fabricación de abonos y compuestos de nitrógeno
2013,Fabricación de plásticos y caucho sintético en formas primarias
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
2029,Fabricación de otros productos químicos n.c.p.
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
2220,Fabricación de productos de plástico
2310,Fabricación de vidrio y productos de vidrio
2391,Fabricación de productos de cerámica refractaria
2392,Fabricación de materiales de arcilla para la construcción
2393,Fabricación de otros productos de cerámica y porcelana
2394,"Fabricación de cemento, cal y yeso"
2395,"Fabricación de artículos de hormigón, cemento y yeso"
2410,Fabricación básica de hierro y acero
