edu_hhh,Education
1001,"Parvularia, No obtuvo"
2001,"BÃ¡sica, No obtuvo"
2005,"BÃ¡sica, Diploma militar o policial"
2006,"BÃ¡sica, Profesorado"
20010,"BÃ¡sica, Otro"
3001,"Media, No obtuvo"
3002,"Media, Bachiller"
3005,"Media, Diploma militar o policial"
3006,"Media, Profesorado"
3009,"Media, Trabajador(a) social"
30010,"Media, Otro"
4002,"Superior universitario, Bachiller"
4003,"Superior universitario, TÃ­tulo universitario"
4004,"Superior universitario, Postgrado"
4005,"Superior universitario, Diploma militar o policial"
4006,"Superior universitario, Profesorado"
4007,"Superior universitario, Enfermero(a) auxiliar"
4008,"Superior universitario, Enfermero(a) graduado"
40010,"Superior universitario, Otro"
40011,"Superior universitario, Diploma universitario y no universitario"
5002,"Superior no universitario, Bachiller"
5005,"Superior no universitario, Diploma militar o policial"
5006,"Superior no universitario, Profesorado"
5007,"Superior no universitario, Enfermero(a) auxiliar"
5008,"Superior no universitario, Enfermero(a) graduado"
50010,"Superior no universitario, Otro"
50011,"Superior no universitario, Diploma universitario y no universitario"
6001,"EducaciÃ³n especial, No obtuvo"
7001,"Otro, No obtuvo"
