ind_hhh,Industry
1," Agricultura, ganadería, caza y actividades de servicios conexas"
2, Silvicultura y extracción de madera
3, Pesca y acuicultura
6,Extracción de petróleo crudo y gas natural
7, Extracción de minerales metaliferos
8, Explotación de otras minas y canteras
9, Actividades de servicios de apoyo para la explotación de minas y canteras
10,  Elaboración de productos alimenticios
11,  Elaboración de bebidas
13,  Fabricación de productos textiles
14,  Fabricación de prendas de vestir
15,  Fabricación de productos de cuero y productos conexos
16,"  Producción de madera y fabricación de productos de madera y corcho, excepto.."
17,  Fabricación de papel y de productos de papel
18,  Impresión y reproducción de grabaciones
20,  Fabricación de sustancias y productos químicos
21,  Fabricación de productos farmacéuticos sustancias químicas medicinales y productos botánicos de us
22,  Fabricación de productos de caucho y de plástico
23,  Fabricación de otros productos minerales no metálicos
24,  Fabricación de metales comunes
25,"  Fabricación de productos elaborados de metal, excepto maquinaria y equipo"
26,"  Fabricación de productos de informática, de electrónica y de óptica"
27,Fabricación de equipo eléctrico
28,  Fabricación de maquinaria  y equipo n.c.p.
30,Fabricación de otro equipo de transporte
31,  Fabricación de muebles
32,  Otras industrias manufactureras
33,  Reparación e instalación de maquinaria y equipo
35,"  Suministro de electricidad, gas, vapor y aire acondicionado"
36,"  Captación, tratamiento y distribución de agua"
38,"  Recogida, tratamiento y eliminación de desechos; recuperación de materiales"
41,  Construcción de edificios
42,  Obras de ingeniería civil
43,  Actividades especializadas de construcción
45,  Comercio al por mayor y al por menor y reparación de vehículos automotores y motocicletas
46,"  Comercio al por mayor, excepto el de vehículos automotores y motocicletas"
47,"  Comercio al por menor, excepto el de vehículos automotores y motocicletas"
49,  Transporte por vía terrestre y transporte por tuberías
50,  Transporte por vía acuática
51,  Transporte por vía aérea
52,  Almacenamiento y actividades de apoyo al transporte
53,   Actividades postales y de mensajería
55,  Actividades de alojamiento
56,  Actividades de servicio de comidas y bebidas
58,  Actividades de edición
59,"Actividades de producción de películas cinematográficas, vídeos y programas de televisió..."
60,  Actividades de programación y transmisión
61,  Telecomunicaciones
62,"  Programación informática, consultoría de informática y actividades conexas"
63,  Actividades de servicios de información
64,"  Actividades de servicios financieros, excepto las de seguros y fondos de pensiones"
65,"  Seguros, reaseguros y fondos de pensiones, excepto planes de seguridad social de afiliación obliga"
66,Actividades auxiliares de las actividades de servicios financieros
68,  Actividades inmobiliarias
69,  Actividades jurídicas y de contabilidad
70,  Actividades de oficinas principales; actividades de consultoría de gestión
71,  Actividades de arquitectura e ingeniería; ensayos y análisis técnicos
73,  Publicidad y estudios de mercado
74,"  Otras actividades profesionales, científicas y técnicas"
75,  Actividades veterinarias
77,  Actividades de alquiler y arrendamiento
78,  Actividades de empleo
79,  Actividades de agencias de viajes y operadores turísticos y servicios de reservas y actividades co
80,  Actividades de seguridad e investigación
81,  Actividades de servicios a edificios y de paisajismo
82,  Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas
84,  Administración pública y defensa; planes de seguridad social de afiliación obligatoria
85,  Enseñanza
86,  Actividades de atención de la salud humana
87,  Actividades de atención en instituciones
88,Actividades de asistencia social sin alojamiento
90,"  Actividades creativas, artísticas y de entretenimiento"
91,"Actividades de bibliotecas, archivos"
92,  Actividades de juegos de azar y apuestas
93,"  Actividades deportivas, de esparcimiento y recreativas"
94,  Actividades de asociaciones
95,  Reparación de ordenadores y de efectos personales y enseres domésticos
96,  Otras actividades de servicios personales
97,  Actividades de los hogares como empleadores de personal doméstico
98, Actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio
99,  Actividades de organizaciones y órganos extraterritoriales
