district,District
01001,Aguascalientes (Aguascalientes)
01003,Calvillo (Aguascalientes)
01005,Jesús María (Aguascalientes)
01006,Pabellón de Arteaga (Aguascalientes)
01007,Rincón de Romos (Aguascalientes)
01011,San Francisco de los Romo (Aguascalientes)
01008,San José de Gracia (Aguascalientes)
01002,Asientos (Aguascalientes)
01004,Cosío (Aguascalientes)
01009,Tepezalá (Aguascalientes)
01010,El Llano (Aguascalientes)
02001,Ensenada (Baja California)
02002,Mexicali (Baja California)
02004,Tijuana (Baja California)
02003,Tecate (Baja California)
02005,Playas de Rosarito (Baja California)
03003,La Paz (Baja California Sur)
03001,Comondú (Baja California Sur)
03008,Los Cabos (Baja California Sur)
03002,Mulegé (Baja California Sur)
03009,Loreto (Baja California Sur)
04002,Campeche (Campeche)
04003,Carmen (Campeche)
04004,Champotón (Campeche)
04009,Escárcega (Campeche)
04001,Calkiní (Campeche)
04005,Hecelchakán (Campeche)
04006,Hopelchén (Campeche)
04008,Tenabo (Campeche)
04011,Candelaria (Campeche)
04007,Palizada (Campeche)
04010,Calakmul (Campeche)
05002,Acuña (Coahuila de Zaragoza)
05018,Monclova (Coahuila de Zaragoza)
05025,Piedras Negras (Coahuila de Zaragoza)
05030,Saltillo (Coahuila de Zaragoza)
05035,Torreón (Coahuila de Zaragoza)
05010,Frontera (Coahuila de Zaragoza)
05017,Matamoros (Coahuila de Zaragoza)
05020,Múzquiz (Coahuila de Zaragoza)
05022,Nava (Coahuila de Zaragoza)
05024,Parras (Coahuila de Zaragoza)
05027,Ramos Arizpe (Coahuila de Zaragoza)
05028,Sabinas (Coahuila de Zaragoza)
05031,San Buenaventura (Coahuila de Zaragoza)
05032,San Juan de Sabinas (Coahuila de Zaragoza)
05033,San Pedro (Coahuila de Zaragoza)
05004,Arteaga (Coahuila de Zaragoza)
05007,Cuatro Ciénegas (Coahuila de Zaragoza)
05019,Morelos (Coahuila de Zaragoza)
05036,Viesca (Coahuila de Zaragoza)
05037,Villa Unión (Coahuila de Zaragoza)
05009,Francisco I. Madero (Coahuila de Zaragoza)
05006,Castaños (Coahuila de Zaragoza)
05014,Jiménez (Coahuila de Zaragoza)
05013,Hidalgo (Coahuila de Zaragoza)
06002,Colima (Colima)
06007,Manzanillo (Colima)
06010,Villa de Álvarez (Colima)
06001,Armería (Colima)
06009,Tecomán (Colima)
06003,Comala (Colima)
06004,Coquimatlán (Colima)
06005,Cuauhtémoc (Colima)
06008,Minatitlán (Colima)
06006,Ixtlahuacán (Colima)
07078,San Cristóbal de las Casas (Chiapas)
07089,Tapachula (Chiapas)
07101,Tuxtla Gutiérrez (Chiapas)
07015,Cacahoatán (Chiapas)
07019,Comitán de Domínguez (Chiapas)
07027,Chiapa de Corzo (Chiapas)
07034,Frontera Comalapa (Chiapas)
07040,Huixtla (Chiapas)
07051,Mapastepec (Chiapas)
07052,Las Margaritas (Chiapas)
07061,Ocozocoautla de Espinosa (Chiapas)
07065,Palenque (Chiapas)
07097,Tonalá (Chiapas)
07106,Venustiano Carranza (Chiapas)
07003,Acapetahua (Chiapas)
07020,La Concordia (Chiapas)
07031,Chilón (Chiapas)
07041,La Independencia (Chiapas)
07055,Metapa (Chiapas)
07068,Pichucalco (Chiapas)
07072,Pueblo Nuevo Solistahuacán (Chiapas)
07091,Tapilula (Chiapas)
07096,Tila (Chiapas)
07099,La Trinitaria (Chiapas)
07102,Tuxtla Chico (Chiapas)
07107,Villa Corzo (Chiapas)
07108,Villaflores (Chiapas)
07114,Benemérito de las Américas (Chiapas)
07009,Arriaga (Chiapas)
07017,Cintalapa (Chiapas)
07069,Pijijiapan (Chiapas)
07087,Suchiate (Chiapas)
07112,San Juan Cancuc (Chiapas)
07004,Altamirano (Chiapas)
07006,Amatenango de la Frontera (Chiapas)
07013,Bochil (Chiapas)
07036,La Grandeza (Chiapas)
07039,Huitiupán (Chiapas)
07045,Ixtapangajoya (Chiapas)
07059,Ocosingo (Chiapas)
07064,Oxchuc (Chiapas)
07077,Salto de Agua (Chiapas)
07079,San Fernando (Chiapas)
07080,Siltepec (Chiapas)
07092,Tecpatán (Chiapas)
07105,Unión Juárez (Chiapas)
07115,Maravilla Tenejapa (Chiapas)
07117,Montecristo de Guerrero (Chiapas)
07063,Osumacinta (Chiapas)
07113,Aldama (Chiapas)
08017,Cuauhtémoc (Chihuahua)
08019,Chihuahua (Chihuahua)
08021,Delicias (Chihuahua)
08032,Hidalgo del Parral (Chihuahua)
08037,Juárez (Chihuahua)
08011,Camargo (Chihuahua)
08036,Jiménez (Chihuahua)
08045,Meoqui (Chihuahua)
08050,Nuevo Casas Grandes (Chihuahua)
08052,Ojinaga (Chihuahua)
08001,Ahumada (Chihuahua)
08003,Allende (Chihuahua)
08004,Aquiles Serdán (Chihuahua)
08005,Ascensión (Chihuahua)
08029,Guadalupe y Calvo (Chihuahua)
08048,Namiquipa (Chihuahua)
08055,Rosales (Chihuahua)
08060,Santa Bárbara (Chihuahua)
08062,Saucillo (Chihuahua)
08010,Buenaventura (Chihuahua)
08013,Casas Grandes (Chihuahua)
08023,Galeana (Chihuahua)
08031,Guerrero (Chihuahua)
08002,Aldama (Chihuahua)
08006,Bachíniva (Chihuahua)
08007,Balleza (Chihuahua)
08008,Batopilas de Manuel Gómez Morín (Chihuahua)
08009,Bocoyna (Chihuahua)
08012,Carichí (Chihuahua)
08016,La Cruz (Chihuahua)
08018,Cusihuiriachi (Chihuahua)
08020,Chínipas (Chihuahua)
08027,Guachochi (Chihuahua)
08028,Guadalupe (Chihuahua)
08030,Guazapares (Chihuahua)
08034,Ignacio Zaragoza (Chihuahua)
08035,Janos (Chihuahua)
08039,López (Chihuahua)
08040,Madera (Chihuahua)
08043,Matachí (Chihuahua)
08047,Moris (Chihuahua)
08051,Ocampo (Chihuahua)
08054,Riva Palacio (Chihuahua)
08056,Rosario (Chihuahua)
08063,Temósachic (Chihuahua)
08065,Urique (Chihuahua)
08014,Coronado (Chihuahua)
08038,Julimes (Chihuahua)
08053,Praxedis G. Guerrero (Chihuahua)
08067,Valle de Zaragoza (Chihuahua)
09002,Azcapotzalco (Ciudad de México)
09003,Coyoacán (Ciudad de México)
09004,Cuajimalpa de Morelos (Ciudad de México)
09005,Gustavo A. Madero (Ciudad de México)
09006,Iztacalco (Ciudad de México)
09007,Iztapalapa (Ciudad de México)
09008,La Magdalena Contreras (Ciudad de México)
09010,Álvaro Obregón (Ciudad de México)
09011,Tláhuac (Ciudad de México)
09012,Tlalpan (Ciudad de México)
09013,Xochimilco (Ciudad de México)
09014,Benito Juárez (Ciudad de México)
09015,Cuauhtémoc (Ciudad de México)
09016,Miguel Hidalgo (Ciudad de México)
09017,Venustiano Carranza (Ciudad de México)
09009,Milpa Alta (Ciudad de México)
10005,Durango (Durango)
10007,Gómez Palacio (Durango)
10008,Guadalupe Victoria (Durango)
10012,Lerdo (Durango)
10032,Santiago Papasquiaro (Durango)
10038,Vicente Guerrero (Durango)
10004,Cuencamé (Durango)
10013,Mapimí (Durango)
10016,Nombre de Dios (Durango)
10018,El Oro (Durango)
10020,Pánuco de Coronado (Durango)
10022,Poanas (Durango)
10033,Súchil (Durango)
10035,Tepehuanes (Durango)
10039,Nuevo Ideal (Durango)
10024,Rodeo (Durango)
10001,Canatlán (Durango)
10003,Coneto de Comonfort (Durango)
10006,General Simón Bolívar (Durango)
10014,Mezquital (Durango)
10015,Nazas (Durango)
