edu_hhh,Education
1,Sin Instruccion
3,Educ. Especial 1 a 9
4,Educ. Escolar Basica 1 a 6
5,Educ. Escolar Basica 7 a 9
6,Secundaria Ciclo Basico
7,Bachillerato Humanistico/Cientifico
8,Bachillerato Technico / Comercial
9,Bachillerato a Distancia
10,Educ. Media Cientifica
11,Educ. MEdia Tecnica
12,Educ. Basica Bilingue de Jovenes y Adultos
13,Educ. Media a Distancia para Jovenes y Adultos
14,Educ. Basica Alternativa de Jovenes y Adultos
15,Educ. Madia Alternativa de Jovenes y Adultos
17,Programas de ALfabetizacion
19,Tecnica Superior
20,Formacion Docente
21,Profesionalizacion Docente
22,Form. Militar/Policial
23,Superior Universitario
99,Not known
NA,NA
