ind_hhh,Industry
111,"cultivo de cereales (excepto arroz), legumbres y semillas  oleaginosas"
112,cultivo de arroz
113,"cultivo de vegetales y melones, raíces y tubérculos"
114,cultivo de  caña de  azúcar
115,cultivo de tabaco
116,cultivo de fibras
119,cultivo de otros productos  no perennes
121,cultivo de uvas
122,cultivo de frutas tropicales y subtropicales
123,cultivo de frutas cítricas
124,cultivo de frutas con hueso y con pepa
125,cultivo de otras  frutas y nueces que crecen en árboles y arbustos
126,cultivo de  frutas oleaginosas
127,cultivo de productos para preparar bebidas
128,"cultivo de plantas aromáticas, medicinales y especias"
129,otros cultivos perennes
130,propagación de plantas
141,cría de ganado vacuno y búfalos
142,cría  de caballos y otros equinos
143,cría de camellos y  camélidos
144,cría de  ovejas y cabras
145,cria de cerdos / puercos
146,cría  de  aves de corral
149,cria  de otros animales
150,cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
161,actividades de apoyo a los cultivos
162,actividades de apoyo a la ganadería
163,actividades posteriores a la cosecha
164,procesamiento de semillas  para la propagación
170,"caza ordinaria, mediante trampas y actividades de servicios conexas"
210,silvicultura y otras actividades relacionadas a la silvicultura
220,extracción de madera
230,recolección de productos forestales diferentes a la madera
240,servicios de apoyo a la silvicultura
311,pesca marítima
312,pesca de agua dulce
321,acuicultura marítima
322,acuicultura en agua dulce
510,extracción y aglomeración de carbón de piedra
520,extracción y aglomeración de lignito
610,extracción de petróleo crudo
620,extracción de gas natural
710,extracción de minerales de hierro
721,extracción de minerales de uranio y torio
729,extracción de otros minerales metalíferos no ferrosos
810,"extracción de piedra, arena y arcilla"
891,extracción de minerales para la fabricación de fertilizantes y productos químicos
892,extracción de turba
893,extracción de sal
899,explotación de otras minas y canteras n.c.p.
910,actividades de apoyo a la extracción de petróleo y gas natural
990,actividades de apoyo a la explotación de otras minas y canteras
1010,procesamiento y conservación de carne
1020,"procesamiento y conservación de pescados , crustáceos y moluscos"
1030,procesamiento y conservación de frutas y vegetales
1040,elaboración de aceites y grasas de origen vegetal y animal
1050,elaboración de productos lácteos
1061,elaboración de productos de molinería
1062,elaboración de almidones y productos elaborados del almidón
1071,elaboración de productos de panadería
1072,elaboración de azúcar
1073,"elaboración de cacao, chocolate y productos de confitería"
1074,"elaboración de macarrones, fideos, cuscús y productos farináceos similares"
1075,elaboración de comidas y platos preparados
1079,elaboración de otros productos alimenticios n.c.p.
1080,elaboración de  alimentos preparados para animales
1101,"destilación, rectificación y mezcla de bebidas alcohólicas"
1102,elaboración de vinos
1103,elaboración de bebidas malteadas y de malta
1104,"elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas"
1200,elaboración de productos de tabaco
1311,preparación e hiladura de fibras textiles
1312,tejedura de productos textiles
1313,acabado de productos textiles
1391,fabricación de tejidos y tela de punto (crochet o ganchillo)
1392,"fabricación de artículos confeccionados con textiles, excepto prendas de vestir"
1393,fabricación de tapices y alfombras
1394,"fabricación de cuerdas, cordeles, bramantes y redes"
1399,fabricación de otros textiles n.c.p.
1410,"fabricación de prendas de vestir, excepto prendas de peletería"
1420,fabricación de artículos de peletería
1430,fabricación de prendas de tejidos de punto y ganchillo
1511,curtido y adobo de cueros; adobo y teñido de pieles
1512,"fabricación de maletas, bolsos de mano y artículos de artículos de talabartería y guarnicionería"
1520,fabricación de calzado
1610,aserrados y acepilladura de madera
1621,fabricación de hojas de madera para enchapado y paneles a base de madera
1622,fabricación de partes y piezas de carpintería para edificios y construcciones
1623,fabricación de recipientes de madera
1629,"fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables"
1701,"fabricación de pulpa, papel y cartón"
