nomccpp,latitud,longitud,village
,-3.6818904876708984,-80.67791748046875,1
,-11.95274829864502,-77.00660705566406,2
(COMUDAD QUISINI) SECTOR UNURAQUINA,-14.392780303955078,-71.1114730834961,3
(COMUNIDAD QUISINI) SECTOR MARAMPAMPA,-14.392780303955078,-71.1114730834961,4
(COMUNIDAD QUISINI) SECTOR UNURAQUINA,-14.392780303955078,-71.1114730834961,5
(COMUNIDAD QUISINI) SECTOR UYUCANI,-14.392780303955078,-71.1114730834961,6
(CONSA) CONSASECTOR HATUN TUGSA,-14.426898002624512,-71.423919677734375,7
(CONSA) SECTOR CCOLLPAMAYO,-14.426898002624512,-71.423919677734375,8
(CONSA) SECTOR HATUN TUGSA,-14.426898002624512,-71.423919677734375,9
(CONZA) SECTOR CCOLLPAMAYO,-14.426898002624512,-71.423919677734375,10
(CONZA) SECTOR CCOLPAMAYO,-14.426898002624512,-71.423919677734375,11
A H VILLA PRI!AVERA,-12.191385269165039,-76.97586822509766,12
A UNOS METROS DEL CAMPO DEPORTIVO,-5.0398101806640625,-78.97032165527344,13
AA HH  18 DE MAYO,-5.203672885894775,-80.63166046142578,14
AA HH  ALMIRANTE MIGUEL GRAU II ETAPA,-5.1939263343811035,-80.598846435546875,15
AA HH  EL TRIUNFO,-12.587457656860352,-69.16980743408203,16
AA HH  LAS AMAZONAS,-3.7707252502441406,-73.2802963256836,17
AA HH  LAS DELICIAS,-8.180764198303223,-79.01318359375,18
AA HH  LAS GAVIOTAS,-8.36454963684082,-74.57319641113281,19
AA HH  LOS ARENALES DE LA PRADERA,-6.782262325286865,-79.88459014892578,20
AA HH  SANFRANCISCO DE ASIS,-8.091568946838379,-79.099334716796875,21
AA HH  VATE MANRIQUE,-5.106198310852051,-80.17192077636719,22
AA HH 01 DE MAYO,-8.374601364135742,-74.5871810913086,23
AA HH 02 DE MAYO,-8.367757797241211,-74.5397720336914,24
AA HH 09 DE OCTUBRE,-8.395318984985352,-74.54576873779297,25
AA HH 11 DE ABRIL,-8.413788795471191,-74.58512115478516,26
AA HH 11 DE JULIO,-8.391449928283691,-74.53829193115234,27
AA HH 11 DE JULIO,-8.391907691955566,-74.53599548339844,28
AA HH 12 DE AGOSTO,-8.366415977478027,-74.55638122558594,29
AA HH 13 DE SETIEMBRE,-8.36454963684082,-74.57319641113281,30
AA HH 14 DE FEBRERO,-8.414389610290527,-74.56785583496094,31
AA HH 15 DE ABRIL,-7.24335241317749,-79.46138000488281,32
AA HH 15 DE JULIO,-8.380528450012207,-74.55364990234375,33
AA HH 15 DE MARZO,-4.904751300811768,-80.6719970703125,34
AA HH 15 DEMARZO,-4.904751300811768,-80.6719970703125,35
AA HH 18 DE MAYO,-5.203672885894775,-80.63166046142578,36
AA HH 23 DE FEBRERO,-8.370691299438477,-74.5748062133789,37
AA HH 23 DE OCTUBRE,-8.375931739807129,-74.59107208251953,38
AA HH 25 DE MAYO,-8.4712982177734375,-74.81404113769531,39
AA HH 26 DE ENERO,-8.413430213928223,-74.54853057861328,40
AA HH 28 DE JULIO,-4.930920600891113,-79.944732666015625,41
AA HH 28 DE JULIO,-15.373624801635742,-75.15666198730469,42
AA HH 3 DE DICIEMBRE,-8.3785247802734375,-74.5596923828125,43
AA HH 5 DE SETIEMBRE,-5.90456485748291,-76.1058578491211,44
AA HH 5 DE SETIEMBRE,-5.90631103515625,-76.1048355102539,45
AA HH 8 DE DICIEMBRE,-8.413875579833984,-74.55455780029297,46
AA HH 9 DE ABRIL,-8.371064186096191,-74.56292724609375,47
AA HH 9 DE OCTUBRE,-4.904751300811768,-80.6719970703125,48
AA HH 9 DE OCTUBRE,-8.391571998596191,-74.54265594482422,49
AA HH 9 DE OCTUBRE,-8.3899564743042,-74.54120635986328,50
AA HH ABELARDO QUIÑONES,-8.364349365234375,-74.58366394042969,51
AA HH ALAN GARCIA II ETAPA,-3.556593179702759,-80.45530700683594,52
AA HH ALBERTO FUJIMORI,-5.280256748199463,-80.68595123291016,53
AA HH ALBERTO FUJIMORI,-8.067093849182129,-79.04734802246094,54
AA HH ALBERTO FUJIMORI,-8.53776741027832,-78.67107391357422,55
AA HH ALBERTO FUJIMORI,-12.580001831054688,-69.20525360107422,56
AA HH ALCANFORES,-4.930920600891113,-79.944732666015625,57
AA HH ALCIDEZ GUERRA,-12.576983451843262,-69.19190216064453,58
AA HH ALMIRANTE MIGUEL GRAU,-5.189418792724609,-80.59935760498047,59
AA HH ALMIRANTE MIGUEL GRAU II ETAPA,-5.1939263343811035,-80.598846435546875,60
AA HH ALMIRANTE MIGUEL GRAU SEGUNDA ETAPA,-5.1939263343811035,-80.598846435546875,61
AA HH ALTO TRUJILLO BARRIO 3A,-8.063058853149414,-79.01750183105469,62
AA HH AMARUMALLO,-12.601953506469727,-69.180206298828125,63
AA HH AMPLIACION LAS MERCEDES,-4.565898418426514,-81.2744369506836,64
AA HH AMPLIACION ROBERTO SOLAR,-8.063745498657227,-79.02875518798828,65
AA HH ANGEL ARELLANO,-10.729168891906738,-73.7606430053711,66
AA HH ANTUNEZ DE MAYOLO,-8.37928581237793,-74.56776428222656,67
AA HH AQUILINO SANJARA,-12.585970878601074,-69.1996078491211,68
AA HH ASUNCION 8,-13.057446479797363,-76.3470230102539,69
AA HH ATALAYA,-11.12443733215332,-77.61656188964844,70
AA HH ATALAYA I ETAPA,-11.12443733215332,-77.61656188964844,71
AA HH ATROVIU,-8.382040977478027,-74.56768035888672,72
